TIME_PERIOD,inflation_CZ,core_inflation_CZ,inflation_HUN,core_inflation_HUN,inflation_PL,core_inflation_PL,inflation_SK,core_inflation_SK
2015-01,-0.1,0.8,-1.4,1.2,-1.1,0.5,-0.5,0.5
2015-02,0.0,0.7,-0.9,1.5,-1.3,0.5,-0.6,0.5
2015-03,0.1,0.7,-0.5,1.5,-1.2,0.3,-0.4,0.5
2015-04,0.5,0.7,0.0,1.8,-0.8,0.4,-0.1,0.4
2015-05,0.7,0.9,0.6,1.9,-0.6,0.5,-0.1,0.5
2015-06,0.9,0.7,0.7,1.7,-0.5,0.4,-0.1,0.5
2015-07,0.5,0.7,0.5,1.7,-0.4,0.6,-0.2,0.5
2015-08,0.2,0.6,0.1,1.6,-0.4,0.6,-0.2,0.5
2015-09,0.3,0.6,-0.1,1.8,-0.6,0.5,-0.5,0.4
2015-10,0.1,0.7,0.2,1.9,-0.6,0.5,-0.5,0.4
2015-11,0.0,0.6,0.6,1.7,-0.5,0.4,-0.4,0.5
2015-12,-0.1,0.8,1.0,1.7,-0.4,0.3,-0.5,0.7
2016-01,0.5,1.2,1.0,1.7,-0.3,0.3,-0.6,0.8
2016-02,0.5,1.3,0.3,1.6,-0.2,0.3,-0.3,0.9
2016-03,0.3,1.3,-0.2,1.6,-0.4,0.3,-0.5,0.9
2016-04,0.5,1.2,0.3,1.7,-0.5,0.1,-0.4,1.0
2016-05,0.0,1.1,-0.1,1.5,-0.4,0.2,-0.7,1.0
2016-06,-0.1,1.0,-0.1,1.5,-0.4,0.2,-0.7,0.9
2016-07,0.5,1.2,-0.3,1.4,-0.6,0.0,-0.9,0.8
2016-08,0.6,1.1,-0.1,1.3,-0.5,0.0,-0.8,0.7
2016-09,0.5,1.1,0.7,1.4,-0.2,-0.1,-0.5,0.7
2016-10,0.8,1.3,1.1,1.4,0.1,0.1,-0.3,0.9
2016-11,1.6,1.4,1.1,1.3,0.2,0.2,-0.2,0.9
2016-12,2.1,1.5,1.8,1.5,0.9,0.4,0.2,0.9
2017-01,2.3,1.7,2.4,1.3,1.4,0.2,0.8,1.1
2017-02,2.6,1.8,2.9,1.3,1.9,0.6,1.2,1.3
2017-03,2.6,1.9,2.7,1.3,1.8,0.8,1.0,1.3
2017-04,2.1,2.0,2.3,1.4,1.8,1.2,0.8,1.2
2017-05,2.5,2.0,2.1,1.3,1.5,0.8,1.1,1.3
2017-06,2.4,2.1,2.0,1.4,1.3,0.9,1.0,1.3
2017-07,2.4,2.1,2.2,1.6,1.4,0.8,1.5,1.4
2017-08,2.4,2.1,2.7,1.6,1.4,0.7,1.6,1.6
2017-09,2.5,2.2,2.5,1.5,1.6,0.8,1.8,1.5
2017-10,2.8,2.0,2.2,1.2,1.6,0.6,1.8,1.4
